                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.712,                 4.2799,                 1.3183,                0.00372,                0.20603,                0.02777,                0.01647,                  1.532,                 4.1049,                 1.1237,             0.00011817,             0.00011817,             0.00011817
                      2,                  1.764,                  3.427,                 1.2182,                0.01323,                0.55711,                0.10459,                0.04727,                 1.6926,                 3.5044,                 1.1254,             0.00024057,             0.00024057,             0.00024057
                      3,                 1.7417,                 2.5963,                 1.2002,                0.29812,                0.16867,                0.22566,                0.11724,                 1.7688,                 3.1874,                 1.2091,             0.00035793,             0.00035793,             0.00035793
                      4,                 1.6984,                 2.2204,                 1.2032,                0.48462,                0.05849,                0.18421,                0.10122,                 1.7532,                 3.4485,                 1.2955,             0.00047025,             0.00047025,             0.00047025
                      5,                 1.6611,                  1.969,                 1.1739,                0.45636,                0.15919,                0.26176,                0.14106,                 1.7099,                 2.8455,                 1.2536,             0.00057753,             0.00057753,             0.00057753
                      6,                 1.6334,                  1.799,                 1.1781,                0.39769,                0.17161,                0.25485,                0.12857,                 1.7543,                 2.7907,                 1.2557,             0.00067978,             0.00067978,             0.00067978
                      7,                 1.6345,                 1.7587,                  1.171,                0.46845,                0.24446,                 0.3016,                0.16509,                 1.7341,                 2.7456,                 1.2482,             0.00077698,             0.00077698,             0.00077698
                      8,                 1.5851,                 1.6507,                 1.1705,                0.39669,                0.37394,                0.36804,                0.18859,                 1.7846,                 2.2006,                 1.2727,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.6389,                 1.5862,                 1.1746,                0.47273,                0.42156,                0.35793,                0.17297,                 1.7703,                 2.1891,                 1.2446,             0.00078301,             0.00078301,             0.00078301
                     10,                 1.5612,                 1.4575,                 1.1594,                0.41543,                0.45449,                0.37821,                0.18823,                 1.7264,                 2.1191,                 1.2368,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.5219,                 1.4699,                 1.1649,                0.59122,                0.40792,                0.41504,                0.21591,                 1.7461,                 2.0785,                 1.2509,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.5886,                 1.4399,                 1.1601,                 0.5099,                0.44126,                0.45825,                0.24741,                 1.7742,                 1.7955,                 1.2692,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.5211,                 1.3851,                 1.1359,                0.55741,                0.53196,                0.55203,                0.28891,                 1.6863,                 1.5553,                  1.224,             0.00071102,             0.00071102,             0.00071102
