                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39465,                0.68775,                 2.9977,                 0.9938,                0.48895,                 0.8509,                0.73221,                0.64197,                0.48895,                 0.8509,                0.73221,                0.72612,                0.47788,                0.26502,                 1.7552,                 1.1627,             0.00025442,             0.00025442,             0.00025442
                      2,                0.38992,                0.37145,                 1.8254,                0.96147,                0.82654,                0.95243,                0.89084,                0.76535,                0.83302,                0.95937,                0.90099,                0.87454,                 0.5877,                0.40164,                 1.4117,                 1.2255,              0.0005057,              0.0005057,              0.0005057
                      3,                0.37606,                0.31774,                 1.5339,                0.95401,                0.82891,                0.95537,                0.95154,                0.87553,                0.82891,                0.95537,                0.95154,                0.92155,                0.39265,                0.35185,                 1.1905,                 1.0303,              0.0007519,              0.0007519,              0.0007519
                      4,                0.38404,                0.30023,                 1.3227,                0.94873,                0.83785,                0.95197,                0.96868,                0.89482,                0.83785,                0.95197,                0.96868,                0.95658,                0.39189,                0.30138,                 1.2411,                  1.017,             0.00074616,             0.00074616,             0.00074616
                      5,                0.37894,                 0.3687,                 1.1935,                0.94301,                0.86852,                0.94754,                 0.9704,                0.91477,                0.86852,                0.94754,                 0.9704,                0.95516,                0.36797,                0.26264,                 1.0282,                 1.0091,             0.00074616,             0.00074616,             0.00074616
                      6,                0.39161,                 0.3441,                 1.1811,                0.95568,                 0.9375,                0.96539,                0.97502,                0.87839,                 0.9375,                0.96539,                0.97502,                0.96457,                0.40276,                0.28581,                 1.0066,                 1.0346,             0.00073855,             0.00073855,             0.00073855
                      7,                0.34074,                0.30681,                 1.0009,                0.92701,                0.90623,                0.91965,                0.97502,                0.90326,                0.90623,                0.91965,                0.97502,                0.96199,                0.39265,                0.27662,                 1.0834,                 1.0138,             0.00073093,             0.00073093,             0.00073093
                      8,                0.36704,                 0.2571,                 1.0376,                  0.953,                0.98917,                0.97784,                0.97503,                0.90907,                0.98917,                0.97784,                0.97503,                0.96377,                0.37361,                0.24568,                0.80256,                 1.0203,             0.00072332,             0.00072332,             0.00072332
                      9,                0.32591,                0.26251,                   0.86,                 0.9252,                0.98234,                0.97846,                0.97504,                0.93537,                0.98234,                0.97846,                0.97504,                0.96507,                0.34171,                0.28463,                0.78101,                0.98933,             0.00071571,             0.00071571,             0.00071571
                     10,                0.33539,                0.28403,                0.81273,                 0.9217,                0.97976,                0.97597,                0.97504,                  0.926,                0.97976,                0.97597,                0.97504,                0.96347,                0.31492,                 0.2601,                0.72938,                0.95745,              0.0007081,              0.0007081,              0.0007081
                     11,                0.31309,                0.24688,                0.76447,                0.92627,                0.98398,                0.97904,                0.97508,                0.95187,                0.98398,                0.97904,                0.97508,                0.96084,                0.27319,                0.22377,                0.68072,                0.91348,             0.00070048,             0.00070048,             0.00070048
                     12,                0.29321,                  0.229,                 0.6708,                0.90687,                0.98617,                0.97904,                0.97504,                0.95155,                0.98617,                0.97904,                0.97504,                0.96564,                0.28618,                0.22611,                0.66128,                0.93478,             0.00069287,             0.00069287,             0.00069287
                     13,                0.30917,                0.26271,                0.68368,                0.91815,                0.97589,                0.97876,                0.97504,                0.94255,                0.97589,                0.97876,                0.97504,                0.96443,                 0.2971,                0.22996,                0.73468,                0.92674,             0.00068526,             0.00068526,             0.00068526
                     14,                0.31361,                0.26882,                0.63812,                0.91579,                0.96752,                0.97904,                0.97505,                0.94968,                0.96752,                0.97904,                0.97505,                0.96351,                0.28064,                0.20223,                0.64505,                0.92721,             0.00067764,             0.00067764,             0.00067764
