                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39465,                0.68775,                 2.9977,                 0.9938,                0.48895,                 0.8509,                0.73221,                0.64197,                0.48895,                 0.8509,                0.73221,                0.72612,                0.47788,                0.26502,                 1.7552,                 1.1627,             0.00025442,             0.00025442,             0.00025442
                      2,                0.39262,                0.36568,                 1.8274,                0.96231,                0.84498,                0.95277,                0.90425,                0.79608,                0.84498,                0.95277,                0.90425,                0.88626,                0.52401,                0.36556,                 1.3794,                 1.1554,             0.00050823,             0.00050823,             0.00050823
                      3,                0.37917,                 0.3135,                 1.5249,                0.95437,                0.85993,                0.95488,                  0.968,                0.89466,                0.85993,                0.95488,                  0.968,                0.93512,                0.36452,                0.34499,                 1.1417,                  1.011,             0.00075949,             0.00075949,             0.00075949
                      4,                0.36429,                0.30256,                  1.351,                0.94333,                0.90266,                0.94962,                0.96843,                0.88002,                0.90266,                0.94962,                0.96843,                0.95335,                0.41277,                  0.327,                 1.0558,                 1.0415,             0.00075758,             0.00075758,             0.00075758
                      5,                0.38585,                0.38464,                  1.199,                0.95016,                0.97305,                0.97904,                0.97504,                 0.8862,                0.97305,                0.97904,                0.97504,                 0.9627,                0.46339,                0.26685,                 1.0529,                 1.1089,             0.00075758,             0.00075758,             0.00075758
                      6,                 0.3806,                 0.3406,                 1.1259,                0.95367,                0.94866,                0.96073,                0.97503,                0.87219,                0.94866,                0.96073,                0.97503,                0.96132,                0.42599,                0.29016,                 1.1187,                 1.0358,             0.00075377,             0.00075377,             0.00075377
                      7,                0.35323,                0.28734,                 1.0041,                0.93478,                0.99068,                0.97904,                0.97504,                 0.9223,                0.99068,                0.97904,                0.97504,                0.96399,                0.35161,                0.22792,                0.77262,                 1.0001,             0.00074997,             0.00074997,             0.00074997
                      8,                0.36797,                0.26685,                0.99267,                 0.9462,                0.96676,                0.97904,                0.97505,                0.89887,                0.96676,                0.97904,                0.97505,                0.96689,                0.41142,                0.24953,                0.93519,                  1.049,             0.00074616,             0.00074616,             0.00074616
                      9,                0.33645,                0.27339,                 0.8664,                0.93141,                0.99014,                0.97904,                0.97505,                0.93499,                0.99014,                0.97904,                0.97505,                0.96666,                0.32783,                0.28692,                0.76739,                0.96013,             0.00074235,             0.00074235,             0.00074235
                     10,                0.33129,                0.27798,                0.78971,                0.92113,                0.98409,                0.97904,                0.97506,                0.95234,                0.98409,                0.97904,                0.97506,                0.96455,                0.29559,                0.25033,                0.69448,                0.93598,             0.00073855,             0.00073855,             0.00073855
                     11,                0.32947,                0.26359,                0.84337,                0.92841,                 0.9729,                0.97904,                0.97506,                0.92524,                 0.9729,                0.97904,                0.97506,                0.95923,                 0.3264,                0.24417,                0.74851,                0.98125,             0.00073474,             0.00073474,             0.00073474
                     12,                0.30154,                0.23836,                0.70254,                0.90723,                0.97474,                0.97904,                0.97505,                0.92894,                0.97474,                0.97904,                0.97505,                0.96598,                0.31695,                0.25511,                0.72314,                0.94741,             0.00073093,             0.00073093,             0.00073093
                     13,                0.30685,                0.26249,                0.69118,                0.91347,                0.92809,                0.96798,                0.97504,                0.94658,                0.92809,                0.96798,                0.97504,                 0.9606,                0.27666,                0.26695,                0.71492,                0.91908,             0.00072713,             0.00072713,             0.00072713
                     14,                0.32483,                0.29695,                0.68083,                0.91708,                0.98723,                0.97904,                0.97507,                0.94871,                0.98723,                0.97904,                0.97507,                0.96044,                0.27591,                0.22205,                 0.6158,                0.91028,             0.00072332,             0.00072332,             0.00072332
                     15,                0.28954,                0.23602,                0.61038,                0.91769,                0.98166,                0.97904,                0.97507,                0.95073,                0.98166,                0.97904,                0.97507,                0.96675,                0.29075,                0.22942,                0.57716,                0.92342,             0.00071951,             0.00071951,             0.00071951
                     16,                0.30937,                 0.2473,                0.63226,                0.91201,                0.99389,                0.97904,                0.97513,                0.94582,                0.99389,                0.97904,                0.97513,                0.96053,                 0.2819,                0.25927,                0.52179,                0.91979,             0.00071571,             0.00071571,             0.00071571
                     17,                0.30695,                0.23224,                0.61374,                0.91676,                0.98126,                0.97654,                0.97516,                0.93636,                0.98126,                0.97654,                0.97516,                0.96295,                0.28559,                0.21751,                 0.5661,                0.93696,              0.0007119,              0.0007119,              0.0007119
                     18,                0.30052,                0.21524,                0.58932,                0.91182,                0.97824,                0.97904,                0.97514,                0.94993,                0.97824,                0.97904,                0.97514,                0.96278,                0.27341,                0.23281,                0.55192,                0.92113,              0.0007081,              0.0007081,              0.0007081
