                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34545,                0.82252,                 2.9909,                0.94738,                0.90901,                 0.2354,                0.64604,                 0.5933,                0.90901,                 0.2354,                0.64599,                0.63112,                0.35534,                0.44104,                 2.7151,                 0.9836,             0.00026995,             0.00026995,             0.00026995
                      2,                0.34761,                0.33522,                  1.465,                0.91093,                0.89792,                0.86949,                0.97132,                0.88899,                0.89792,                0.86949,                0.97128,                0.95056,                0.43151,                 0.3132,                 1.2626,                 1.0555,              0.0005422,              0.0005422,              0.0005422
                      3,                0.33585,                0.30944,                 1.0814,                0.90409,                0.98078,                0.96844,                0.97081,                0.92926,                0.98078,                0.96844,                0.97081,                0.95789,                0.33595,                0.30212,                0.85453,                0.94402,             0.00080895,             0.00080895,             0.00080895
                      4,                0.33503,                0.27259,                0.95557,                0.89648,                0.97295,                0.97464,                0.97185,                0.92617,                0.97295,                0.97464,                0.97128,                0.95517,                0.35856,                0.27027,                0.84053,                 0.9558,             0.00080826,             0.00080826,             0.00080826
                      5,                0.32749,                0.26337,                0.85528,                0.89424,                0.94105,                0.96778,                0.97128,                0.93361,                0.94105,                0.96778,                0.97128,                 0.9494,                0.33678,                0.29758,                 0.8051,                0.95048,             0.00080826,             0.00080826,             0.00080826
                      6,                0.31573,                0.28152,                 0.7883,                 0.8788,                0.97051,                0.97464,                0.97128,                 0.9302,                0.97051,                0.97464,                0.97128,                0.95333,                0.31845,                0.28663,                0.70232,                0.93421,             0.00080001,             0.00080001,             0.00080001
                      7,                0.29421,                0.30308,                0.75094,                0.88827,                  0.935,                0.96117,                0.97142,                0.94476,                  0.935,                0.96117,                0.97129,                0.94906,                0.29913,                0.30043,                0.78269,                0.93062,             0.00079177,             0.00079177,             0.00079177
                      8,                0.29216,                0.23375,                0.66894,                0.88734,                0.90021,                0.88509,                0.95765,                0.92336,                0.90619,                0.89104,                0.96595,                0.93738,                 0.3079,                0.32544,                0.98363,                0.91274,             0.00078352,             0.00078352,             0.00078352
                      9,                0.28063,                0.29415,                0.62719,                 0.8827,                0.95967,                0.94314,                0.97129,                0.95424,                0.95967,                0.94314,                0.97129,                0.95211,                0.24175,                0.31694,                0.65142,                0.87882,             0.00077527,             0.00077527,             0.00077527
                     10,                0.28775,                0.28186,                 0.5826,                0.87925,                0.96167,                0.97442,                0.97129,                0.89987,                0.95614,                0.96817,                0.96312,                0.80216,                0.34285,                 1.9862,                0.67441,                0.93126,             0.00076703,             0.00076703,             0.00076703
                     11,                0.27299,                0.26679,                0.56187,                0.88103,                0.99347,                0.97464,                0.97129,                0.93794,                0.99347,                0.97464,                0.97129,                0.95099,                0.27411,                0.23491,                0.52203,                0.90946,             0.00075878,             0.00075878,             0.00075878
                     12,                0.27113,                0.25283,                0.51887,                0.87862,                0.99337,                0.97464,                0.97129,                0.95377,                0.99337,                0.97464,                0.97129,                0.95395,                0.25141,                0.25651,                0.47773,                0.88474,             0.00075053,             0.00075053,             0.00075053
