                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41798,                 2.3377,                 2.2693,                0.95279,                0.97338,                0.97746,                  0.974,                0.95469,                0.97338,                0.97746,                0.97393,                0.96183,                0.26195,                0.45269,                0.73753,                0.87134,             0.00025428,             0.00025428,             0.00025428
                      2,                0.36618,                0.62015,                0.87629,                0.89868,                0.88247,                0.96548,                0.97428,                0.94587,                0.88247,                0.96548,                0.97392,                0.96309,                0.27567,                0.29508,                0.72269,                0.87152,             0.00050809,             0.00050809,             0.00050809
                      3,                0.36256,                0.60173,                0.70905,                0.89579,                0.99647,                0.97746,                0.97396,                0.93285,                0.99647,                0.97746,                0.97392,                0.95725,                0.29976,                 0.3565,                 0.5419,                0.89701,             0.00075936,             0.00075936,             0.00075936
                      4,                0.35552,                0.55722,                0.59652,                 0.8955,                0.98611,                0.97429,                0.97399,                0.95461,                0.98611,                0.97429,                0.97399,                0.96071,                0.24593,                0.27633,                0.48926,                0.84902,             0.00075758,             0.00075758,             0.00075758
                      5,                0.33834,                 0.5492,                0.51878,                0.88834,                0.95564,                 0.9594,                0.97425,                0.87722,                0.95564,                 0.9594,                0.97425,                0.94482,                0.41716,                0.37997,                0.67667,                 1.0301,             0.00075758,             0.00075758,             0.00075758
                      6,                0.32868,                  0.548,                0.45177,                0.88558,                0.99493,                0.97746,                0.97421,                 0.9625,                0.99493,                0.97746,                0.97421,                 0.9588,                0.22817,                0.28302,                0.38324,                0.84079,             0.00075377,             0.00075377,             0.00075377
                      7,                0.32125,                0.51106,                  0.391,                0.88002,                0.99665,                0.97746,                0.97471,                0.96384,                0.99665,                0.97746,                0.97471,                0.96045,                0.20918,                0.26865,                0.26926,                0.82468,             0.00074997,             0.00074997,             0.00074997
                      8,                0.30719,                0.47491,                0.36254,                0.88246,                0.99544,                0.97746,                0.97544,                0.96812,                0.99544,                0.97746,                0.97544,                0.96072,                0.19706,                0.34412,                0.23315,                0.82235,             0.00074616,             0.00074616,             0.00074616
                      9,                0.29744,                0.49464,                 0.3454,                0.87899,                0.99415,                0.97746,                0.97618,                0.96706,                0.99415,                0.97746,                0.97618,                0.96164,                0.19478,                0.27723,                0.25899,                0.82767,             0.00074235,             0.00074235,             0.00074235
                     10,                0.29122,                0.49086,                0.32837,                0.88074,                0.99177,                0.97746,                0.97502,                0.96783,                0.99177,                0.97746,                0.97502,                0.95861,                 0.1936,                0.33664,                0.22001,                0.81726,             0.00073855,             0.00073855,             0.00073855
                     11,                0.29047,                0.51949,                  0.314,                0.88174,                0.99677,                0.97746,                0.97532,                0.96798,                0.99677,                0.97746,                0.97532,                0.96224,                0.19534,                0.27538,                0.21944,                0.82211,             0.00073474,             0.00073474,             0.00073474
                     12,                0.28429,                0.50001,                0.30934,                0.87717,                0.99675,                0.97746,                0.97521,                0.96735,                0.99675,                0.97746,                0.97521,                0.96009,                 0.1874,                0.25952,                0.21503,                 0.8172,             0.00073093,             0.00073093,             0.00073093
                     13,                 0.2826,                0.44036,                 0.3023,                0.87493,                0.99508,                0.97746,                0.97573,                0.96828,                0.99508,                0.97746,                0.97573,                0.96195,                0.19013,                0.28422,                 0.2082,                0.82226,             0.00072713,             0.00072713,             0.00072713
                     14,                0.28169,                0.43644,                 0.2859,                0.87564,                0.99643,                0.97746,                0.97834,                0.96833,                0.99643,                0.97746,                0.97834,                0.96643,                0.18089,                0.25667,                0.19628,                0.81965,             0.00072332,             0.00072332,             0.00072332
                     15,                0.27897,                0.44782,                0.26843,                0.87457,                0.99608,                0.97746,                0.97705,                0.96763,                0.99608,                0.97746,                0.97705,                0.96534,                0.18974,                0.24394,                0.19186,                0.81738,             0.00071951,             0.00071951,             0.00071951
                     16,                0.27375,                0.44419,                0.27895,                0.86879,                 0.9943,                0.97746,                0.97574,                0.96958,                 0.9943,                0.97746,                0.97574,                0.96296,                0.18466,                0.26621,                0.19618,                0.82044,             0.00071571,             0.00071571,             0.00071571
                     17,                0.27693,                0.45182,                 0.2657,                 0.8707,                0.99499,                0.97746,                0.97687,                0.97166,                0.99499,                0.97746,                0.97687,                0.96629,                0.15699,                0.23095,                 0.1673,                0.80278,              0.0007119,              0.0007119,              0.0007119
                     18,                0.26144,                0.42621,                0.25137,                0.87069,                0.99591,                0.97746,                0.97645,                0.97135,                0.99591,                0.97746,                0.97645,                0.96663,                0.15989,                0.22809,                0.17625,                0.80474,              0.0007081,              0.0007081,              0.0007081
                     19,                0.26512,                0.42055,                0.25421,                0.87331,                0.99594,                0.97746,                0.97751,                0.97184,                0.99594,                0.97746,                0.97751,                0.96736,                0.14512,                 0.2134,                0.15836,                 0.7988,             0.00070429,             0.00070429,             0.00070429
                     20,                0.26554,                0.42575,                 0.2487,                0.87186,                0.99448,                0.97746,                0.97952,                0.97191,                0.99448,                0.97746,                0.97952,                0.96813,                 0.1696,                0.27454,                0.17376,                0.80822,             0.00070048,             0.00070048,             0.00070048
                     21,                0.26589,                0.43286,                 0.2481,                0.87119,                0.99631,                0.97746,                0.97943,                0.97541,                0.99631,                0.97746,                0.97943,                0.97198,                0.17462,                0.29418,                0.16049,                0.80606,             0.00069668,             0.00069668,             0.00069668
                     22,                0.25784,                0.43246,                0.23686,                0.86723,                0.98841,                0.97746,                0.97758,                0.97099,                0.98841,                0.97746,                0.97758,                0.96296,                0.16169,                 0.2092,                0.17562,                0.80669,             0.00069287,             0.00069287,             0.00069287
                     23,                0.25802,                0.43844,                0.23603,                0.86986,                0.99011,                0.97746,                0.97971,                0.97394,                0.99011,                0.97746,                0.97971,                0.96623,                0.14975,                0.23335,                 0.1544,                0.79838,             0.00068906,             0.00068906,             0.00068906
                     24,                0.25355,                0.39795,                0.23772,                0.86658,                0.99632,                0.97746,                0.97938,                 0.9715,                0.99632,                0.97746,                0.97938,                0.96452,                0.13805,                0.23812,                 0.1426,                0.79544,             0.00068526,             0.00068526,             0.00068526
                     25,                0.26038,                0.43404,                0.23312,                0.87223,                0.99631,                0.97746,                0.97834,                0.97091,                0.99631,                0.97746,                0.97834,                 0.9633,                0.17453,                0.25403,                0.16181,                0.80932,             0.00068145,             0.00068145,             0.00068145
                     26,                0.24823,                0.40641,                0.22099,                0.86418,                0.99686,                0.97746,                0.98082,                0.97555,                0.99686,                0.97746,                0.98082,                0.97208,                0.13964,                0.19834,                0.13829,                0.79943,             0.00067764,             0.00067764,             0.00067764
                     27,                0.25346,                0.42946,                0.21885,                0.86738,                0.99731,                0.97746,                0.97996,                0.97447,                0.99731,                0.97746,                0.97996,                0.97138,                0.15166,                0.21572,                0.16371,                0.80308,             0.00067384,             0.00067384,             0.00067384
